price:68.0|title:托德尔莫慕斯卡甜高泡葡萄酒|sezhe:酒精度7.0%|crumb:选酒中心＞起泡酒＞甜起泡酒＞托德尔莫慕斯卡甜高泡葡萄酒
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞圣保利诺布鲁内洛蒙塔奇诺干红葡萄酒2008|price:499.0|title:圣保利诺布鲁内洛蒙塔奇诺干红葡萄酒2008
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞半干红＞鲁米娜星宇美乐红葡萄酒|price:59.0|title:鲁米娜星宇美乐红葡萄酒
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞康纳斯顿IX7经典梅洛干红葡萄酒|price:68.0|title:康纳斯顿IX7经典梅洛干红葡萄酒
sezhe:酒精度10.5%|crumb:选酒中心＞白葡萄酒＞甜白＞德国爱德堡新贵甜白葡萄酒（又名：德国爱德堡新贵冰甜白葡萄酒）375ml|price:70.0|title:德国爱德堡新贵甜白葡萄酒（又名：德国爱德堡新贵冰甜白葡萄酒）375ml
sezhe:酒精度19.5%|crumb:选酒中心＞加强葡萄酒＞波特酒＞唯睿智茶色波特利口酒|price:288.0|title:唯睿智茶色波特利口酒
sezhe:酒精度12.5%|crumb:选酒中心＞白葡萄酒＞甜白＞雅典娜女神格兰精选半甜白葡萄酒|price:98.0|title:雅典娜女神格兰精选半甜白葡萄酒
sezhe:酒精度5.50%|crumb:选酒中心＞其他＞酒星起泡葡萄配制酒（水蜜桃口味200ml|price:也买价:108.0|title:酒星起泡葡萄配制酒（水蜜桃口味200ml
sezhe:酒精度7.0%vol.|crumb:选酒中心＞白葡萄酒＞甜白＞洛仑诗公主精选甜葡萄酒（又名：洛仑诗公主贵腐甜葡萄酒）|price:149.0|title:洛仑诗公主精选甜葡萄酒（又名：洛仑诗公主贵腐甜葡萄酒）
sezhe:酒精度12%|crumb:选酒中心＞红葡萄酒＞干红＞凯扎诺威尼托赤霞珠干红葡萄酒|price:98.0|title:凯扎诺威尼托赤霞珠干红葡萄酒
sezhe:酒精度12.5%|crumb:选酒中心＞桃红葡萄酒＞干型桃红＞爱瑟薇薄若莱布莉之壤新桃红葡萄酒2013|price:94.0|title:爱瑟薇薄若莱布莉之壤新桃红葡萄酒2013
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞威迪酒园加本纳沙威浓红葡萄酒|price:268.0|title:威迪酒园加本纳沙威浓红葡萄酒
sezhe:酒精度12.5%|crumb:选酒中心＞其他＞精品中级庄品鉴组合（普瓦图+奥米莱+图安+图卡斯特隆+美夜城堡+奧康蒂麓）|price:599.0|title:精品中级庄品鉴组合（普瓦图+奥米莱+图安+图卡斯特隆+美夜城堡+奧康蒂麓）
sezhe:酒精度12.0%|crumb:选酒中心＞红葡萄酒＞干红＞格兰城堡干红葡萄酒|price:也买价:288.0|title:格兰城堡干红葡萄酒
sezhe:酒精度12.5%|crumb:选酒中心＞白葡萄酒＞干白＞木桐嘉棣白葡萄酒|price:135.0|title:木桐嘉棣白葡萄酒
sezhe:酒精度14.0%|crumb:选酒中心＞其他＞贝马格雷克莱蒙教皇五世干红葡萄酒-小黑教皇堡6支装|price:499.0|title:贝马格雷克莱蒙教皇五世干红葡萄酒-小黑教皇堡6支装
sezhe:酒精度14.0%|crumb:选酒中心＞红葡萄酒＞干红＞格兰德咖啡品乐塔吉干红葡萄酒|price:128.0|title:格兰德咖啡品乐塔吉干红葡萄酒
sezhe:酒精度13.5%|crumb:选酒中心＞桃红葡萄酒＞干型桃红＞蒙特斯小天使西拉桃红|price:128.0|title:蒙特斯小天使西拉桃红
sezhe:酒精度13%|crumb:选酒中心＞白葡萄酒＞干白＞新玛利珍匣苏维翁白葡萄酒|price:199.0|title:新玛利珍匣苏维翁白葡萄酒
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞卡努酒庄格林园设拉子干红葡萄酒（名庄）|price:378.0|title:卡努酒庄格林园设拉子干红葡萄酒（名庄）
sezhe:酒精度12.5%|crumb:选酒中心＞其他＞西莫干红葡萄酒-6支装|price:199.0|title:西莫干红葡萄酒-6支装
sezhe:酒精度5.50%|crumb:选酒中心＞其他＞酒星起泡葡萄配制酒（蓝莓口味）200ml|price:也买价:108.0|title:酒星起泡葡萄配制酒（蓝莓口味）200ml
sezhe:酒精度14.0%|crumb:选酒中心＞红葡萄酒＞干红＞奥希耶红葡萄酒（拉菲罗斯柴尔德集团荣誉出品）-6支装|price:499.0|title:奥希耶红葡萄酒（拉菲罗斯柴尔德集团荣誉出品）-6支装
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞新玛利珍匣黑皮诺红葡萄酒|price:199.0|title:新玛利珍匣黑皮诺红葡萄酒
sezhe:酒精度12.5%|crumb:选酒中心＞红葡萄酒＞干红＞傲葡山庄-爵士爱美迪红葡萄酒(艾米塔吉）|price:310.0|title:傲葡山庄-爵士爱美迪红葡萄酒(艾米塔吉）
sezhe:酒精度12.5%|crumb:选酒中心＞红葡萄酒＞半甜红＞三只猴子红葡萄酒（猴年款酒）|price:88.0|title:三只猴子红葡萄酒（猴年款酒）
sezhe:酒精度13.0%|crumb:选酒中心＞其他＞美景湾赤霞珠红葡萄酒-6支装|price:329.0|title:美景湾赤霞珠红葡萄酒-6支装
sezhe:酒精度14.5%|crumb:选酒中心＞红葡萄酒＞干红＞阿拉里奥多尔切托干红葡萄酒2011|price:228.0|title:阿拉里奥多尔切托干红葡萄酒2011
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞碧安庄园干红葡萄酒（中级庄）|price:259.0|title:碧安庄园干红葡萄酒（中级庄）
sezhe:酒精度12.0%|crumb:选酒中心＞桃红葡萄酒＞半干型桃红＞木桐嘉棣桃红葡萄酒|price:158.0|title:木桐嘉棣桃红葡萄酒
sezhe:酒精度15%|crumb:选酒中心＞红葡萄酒＞干红＞农场之家魁多里小丘干红葡萄酒2010|price:338.0|title:农场之家魁多里小丘干红葡萄酒2010
sezhe:酒精度7%vol|crumb:选酒中心＞白葡萄酒＞甜白＞风之彩甜白葡萄酒375ml(五十周年纪念版)六支装送包装|price:369.0|title:风之彩甜白葡萄酒375ml(五十周年纪念版)六支装送包装
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞圣埃米利永男爵小木桐（菲利普罗思柴尔德男爵精选圣埃米利永干红葡萄酒）|price:也买价:888.0|title:圣埃米利永男爵小木桐（菲利普罗思柴尔德男爵精选圣埃米利永干红葡萄酒）
sezhe:酒精度12.5%|crumb:选酒中心＞红葡萄酒＞干红＞迪诺干红葡萄酒|price:89.0|title:迪诺干红葡萄酒
sezhe:酒精度13%|crumb:选酒中心＞红葡萄酒＞干红＞拜汀坎玻丽巴贝拉干红葡萄酒2011|price:288.0|title:拜汀坎玻丽巴贝拉干红葡萄酒2011
sezhe:酒精度14%|crumb:选酒中心＞红葡萄酒＞干红＞贝马格雷家族珍藏干红葡萄酒|price:198.0|title:贝马格雷家族珍藏干红葡萄酒
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞伊拉苏高地干红葡萄酒2014|price:368.0|title:伊拉苏高地干红葡萄酒2014
sezhe:酒精度12.0%|crumb:选酒中心＞其他＞玛丽亚海之情半甜红葡萄酒-6支裝|price:179.0|title:玛丽亚海之情半甜红葡萄酒-6支裝
sezhe:酒精度12.0%|crumb:选酒中心＞红葡萄酒＞干红＞爱乐歌红葡萄酒|price:49.0|title:爱乐歌红葡萄酒
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞古雷庄园干红葡萄酒2008(名庄)|price:299.0|title:古雷庄园干红葡萄酒2008(名庄)
sezhe:酒精度0.135|crumb:选酒中心＞红葡萄酒＞干红＞布莱尼庄园干红葡萄酒（中级庄）|price:99.0说明为何有尾款的说明1、为什么交了钱还要交尾款的说明文字2、尾款是怎么计算的说明文字3、尾款应该怎么交的说明文字|title:布莱尼庄园干红葡萄酒（中级庄）
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞罗伯乐富齐酒桶赤霞珠美乐红葡萄酒（又名：南非大拉菲）|price:420.0|title:罗伯乐富齐酒桶赤霞珠美乐红葡萄酒（又名：南非大拉菲）
sezhe:酒精度12.5%|crumb:选酒中心＞白葡萄酒＞干白＞格拉夫男爵小木桐（菲利普罗思柴尔德男爵精选格拉夫干白葡萄酒）|price:258.0|title:格拉夫男爵小木桐（菲利普罗思柴尔德男爵精选格拉夫干白葡萄酒）
sezhe:酒精度14.0%|crumb:选酒中心＞其他＞拉菲巴斯克卡本妮干红葡萄酒6支装|price:439.0|title:拉菲巴斯克卡本妮干红葡萄酒6支装
sezhe:酒精度14%|crumb:选酒中心＞其他＞巴托城堡干红葡萄酒-6支装|price:399.0|title:巴托城堡干红葡萄酒-6支装
sezhe:酒精度12.0%|crumb:选酒中心＞其他＞卡布拉沃红葡萄酒6只装|price:99.0|title:卡布拉沃红葡萄酒6只装
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞天使鱼珊瑚系列（西拉+加本力）|price:428.0|title:天使鱼珊瑚系列（西拉+加本力）
sezhe:酒精度11.50%|crumb:选酒中心＞其他＞赤先锋半干红葡萄酒-整箱6支装|price:588.0|title:赤先锋半干红葡萄酒-整箱6支装
sezhe:酒精度14%|crumb:选酒中心＞其他＞中秋共饮组合|price:也买价:1394.0|title:中秋共饮组合
sezhe:|crumb:选酒中心＞酒刀＞黑色酒刀（海马刀）|price:也买价:8.0|title:黑色酒刀（海马刀）
sezhe:|crumb:选酒中心＞其他酒具＞铝箔倒酒器（两片）|price:也买价:3.8|title:铝箔倒酒器（两片）
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞小企鹅赤霞珠红葡萄酒-也买酒|price:79.0|title:小企鹅赤霞珠红葡萄酒-也买酒
sezhe:酒精度8.0%|crumb:选酒中心＞其他＞甜粉三支花（意大利之花粉*2+意大利之花甜*1）|price:235.0|title:甜粉三支花（意大利之花粉*2+意大利之花甜*1）
sezhe:酒精度8.0%|crumb:选酒中心＞其他＞甜粉双花组合（意大利之花粉+甜白）|price:219.0|title:甜粉双花组合（意大利之花粉+甜白）
sezhe:酒精度8%|crumb:选酒中心＞其他＞爱如蜜桃的花甜美味组合|price:409.0|title:爱如蜜桃的花甜美味组合
sezhe:|crumb:选酒中心＞其他＞塾生堂橄榄油250ml|price:|title:塾生堂橄榄油250ml
sezhe:|crumb:选酒中心＞酒杯＞其他＞贝尔莱火魂专用红酒对杯（两个）|price:|title:贝尔莱火魂专用红酒对杯（两个）
sezhe:|crumb:选酒中心＞其他＞贝尔莱火魄礼盒专用布袋|price:|title:贝尔莱火魄礼盒专用布袋
sezhe:|crumb:选酒中心＞礼盒＞贝尔莱火魂双层礼盒（不含酒）|price:|title:贝尔莱火魂双层礼盒（不含酒）
sezhe:酒精度12.0%|crumb:选酒中心＞其他＞WSET新手必备红酒套装（海洋之心24支装+酒具配件组合）（FSA）|price:799.0|title:WSET新手必备红酒套装（海洋之心24支装+酒具配件组合）（FSA）
sezhe:酒精度12.0%|crumb:选酒中心＞红葡萄酒＞干红＞WSET新手必备红酒套装（海洋之心6支装+酒具配件组合）（FSA）|price:219.0|title:WSET新手必备红酒套装（海洋之心6支装+酒具配件组合）（FSA）
sezhe:酒精度14.0%|crumb:选酒中心＞其他＞美景湾珍藏佳美娜红-6支装|price:499.0|title:美景湾珍藏佳美娜红-6支装
sezhe:|crumb:选酒中心＞其他＞乔治杜博夫薄若莱新酒三支套装（2支大区+村庄）|price:456.0|title:乔治杜博夫薄若莱新酒三支套装（2支大区+村庄）
sezhe:酒精度12.5%|crumb:选酒中心＞其他＞波尔多闪耀双支组合(夏普朗+露品）|price:129.0|title:波尔多闪耀双支组合(夏普朗+露品）
sezhe:酒精度0.125|crumb:选酒中心＞其他＞金奖波尔多AOC双支礼盒装|price:199.0|title:金奖波尔多AOC双支礼盒装
sezhe:酒精度13.0%|crumb:选酒中心＞其他＞格兰家族玉酿干红葡萄酒（佳酿等级）-双支装|price:也买价:256.0|title:格兰家族玉酿干红葡萄酒（佳酿等级）-双支装
sezhe:酒精度12%|crumb:选酒中心＞其他＞爱之堡浓情干红葡萄酒-18支装|price:598.0|title:爱之堡浓情干红葡萄酒-18支装
sezhe:酒精度13.0%|crumb:选酒中心＞其他＞维莎赤霞珠干红葡萄酒【直播专享】|price:也买价:131.8|title:维莎赤霞珠干红葡萄酒【直播专享】
sezhe:酒精度13.50%|crumb:选酒中心＞其他＞品世界缤纷组合Relax系列蓝司令+伊涅斯塔酒丹魄希拉干红+米兰之花甜白高泡|price:也买价:608.0|title:品世界缤纷组合Relax系列蓝司令+伊涅斯塔酒丹魄希拉干红+米兰之花甜白高泡
sezhe:酒精度13.5%|crumb:选酒中心＞其他＞8周年尖货大牌名品礼包（配酒具3件套）|price:也买价:1333.0|title:8周年尖货大牌名品礼包（配酒具3件套）
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞康纳斯顿IX89经典混酿干红葡萄酒|price:68.0|title:康纳斯顿IX89经典混酿干红葡萄酒
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞康纳斯顿IX9格兰珍藏赤霞珠干红葡萄酒|price:159.0|title:康纳斯顿IX9格兰珍藏赤霞珠干红葡萄酒
sezhe:酒精度12.5%|crumb:选酒中心＞其他＞法国波尔多中级庄经典时光礼盒(图安庄园)|price:258.0|title:法国波尔多中级庄经典时光礼盒(图安庄园)
sezhe:酒精度12.5%|crumb:选酒中心＞其他＞红白老酒整箱组合（（2002年）陈年老酒48°百年泸帅500ml整箱六瓶装+图安庄园干红葡萄酒(名庄)-6支装）|price:也买价:2862.0|title:红白老酒整箱组合（（2002年）陈年老酒48°百年泸帅500ml整箱六瓶装+图安庄园干红葡萄酒(名庄)-6支装）
sezhe:酒精度12.5%|crumb:选酒中心＞其他＞图安庄园干红葡萄酒(名庄)-6支装|price:648.0|title:图安庄园干红葡萄酒(名庄)-6支装
sezhe:酒精度13.5%|crumb:选酒中心＞其他＞西班牙双金奖酒（帝龙+贝尔莱）|price:也买价:336.0|title:西班牙双金奖酒（帝龙+贝尔莱）
sezhe:酒精度14%|crumb:选酒中心＞红葡萄酒＞干红＞桃乐丝特选公牛血干红葡萄酒-6支装|price:1080.0|title:桃乐丝特选公牛血干红葡萄酒-6支装
sezhe:酒精度0.135|crumb:选酒中心＞其他＞中级庄品鉴套装（布莱尼庄园）|price:99.0说明为何有尾款的说明1、为什么交了钱还要交尾款的说明文字2、尾款是怎么计算的说明文字3、尾款应该怎么交的说明文字|title:中级庄品鉴套装（布莱尼庄园）
sezhe:酒精度11.5%|crumb:选酒中心＞起泡酒＞甜起泡酒＞卢克斯甜高泡葡萄酒（金瓶）|price:138.0|title:卢克斯甜高泡葡萄酒（金瓶）
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞伊拉苏总统之选珍藏梅洛干红|price:168.0|title:伊拉苏总统之选珍藏梅洛干红
sezhe:酒精度13.5%|crumb:选酒中心＞白葡萄酒＞干白＞干露红魔鬼夏多内白葡萄酒|price:79.0|title:干露红魔鬼夏多内白葡萄酒
sezhe:酒精度11.5%|crumb:选酒中心＞起泡酒＞干起泡酒＞爱之湾鎏金卡瓦桃红天然起泡葡萄酒|price:165.0|title:爱之湾鎏金卡瓦桃红天然起泡葡萄酒
sezhe:酒精度11.5%|crumb:选酒中心＞白葡萄酒＞干白＞【清仓】小企鹅霞多丽白葡萄酒|price:98.0|title:【清仓】小企鹅霞多丽白葡萄酒
sezhe:酒精度17.5%|crumb:选酒中心＞加强葡萄酒＞龙涎香塞图巴尔麝香利口葡萄酒|price:109.0|title:龙涎香塞图巴尔麝香利口葡萄酒
sezhe:酒精度9.5%|crumb:选酒中心＞起泡酒＞干起泡酒＞阿斯特9.5系列干型高泡葡萄酒（200ml）|price:49.0|title:阿斯特9.5系列干型高泡葡萄酒（200ml）
sezhe:酒精度13%|crumb:选酒中心＞红葡萄酒＞干红＞盖世龙城堡干红葡萄酒2010（名庄）|price:1400.0|title:盖世龙城堡干红葡萄酒2010（名庄）
sezhe:酒精度14.0%|crumb:选酒中心＞红葡萄酒＞干红＞贝尔莱第三纪元干红葡萄酒（里奥哈）（名庄）|price:899.0|title:贝尔莱第三纪元干红葡萄酒（里奥哈）（名庄）
sezhe:酒精度8.5%|crumb:选酒中心＞白葡萄酒＞半甜白＞露森雷司令白葡萄酒|price:185.0|title:露森雷司令白葡萄酒
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞阿拉里奥岸花迪亚诺干红葡萄酒|price:138.0|title:阿拉里奥岸花迪亚诺干红葡萄酒
sezhe:酒精度14.5%|crumb:选酒中心＞红葡萄酒＞干红＞佳丽园加略山设拉子|price:199.0|title:佳丽园加略山设拉子
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞世袭家族珍藏干红葡萄酒（金标）|price:88.0|title:世袭家族珍藏干红葡萄酒（金标）
sezhe:酒精度13.5%|crumb:选酒中心＞红葡萄酒＞干红＞普瓦图庄园干红葡萄酒2支装（名庄）|price:也买价:756.0|title:普瓦图庄园干红葡萄酒2支装（名庄）
sezhe:酒精度10%|crumb:选酒中心＞红葡萄酒＞半甜红＞德森森红粉佳人半甜红葡萄酒|price:88.0|title:德森森红粉佳人半甜红葡萄酒
sezhe:|crumb:选酒中心＞红葡萄酒＞干红＞豪庄赛格拉酒庄干红葡萄酒2013|price:458.0|title:豪庄赛格拉酒庄干红葡萄酒2013
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞美人鱼赤霞珠干红葡萄酒|price:89.0|title:美人鱼赤霞珠干红葡萄酒
sezhe:酒精度9%|crumb:选酒中心＞起泡酒＞干起泡酒＞弗莱斯凯罗起泡葡萄酒|price:76.0|title:弗莱斯凯罗起泡葡萄酒
sezhe:酒精度8.5%|crumb:选酒中心＞白葡萄酒＞半甜白＞施密特世家莱茵夫人优质白葡萄酒|price:124.0|title:施密特世家莱茵夫人优质白葡萄酒
sezhe:酒精度14.5%|crumb:选酒中心＞红葡萄酒＞干红＞圣勒庄园珍藏设拉子干红葡萄酒（原名：圣勒庄园特选设拉子干红葡萄酒）|price:368.0|title:圣勒庄园珍藏设拉子干红葡萄酒（原名：圣勒庄园特选设拉子干红葡萄酒）
sezhe:酒精度13.5%|crumb:选酒中心＞白葡萄酒＞干白＞康纳斯顿苏维翁白葡萄酒|price:也买价:88.0|title:康纳斯顿苏维翁白葡萄酒
sezhe:酒精度11%|crumb:选酒中心＞白葡萄酒＞半甜白＞蒙佩奇拉米半甜白葡萄酒|price:88.0|title:蒙佩奇拉米半甜白葡萄酒
sezhe:酒精度0.13|crumb:选酒中心＞红葡萄酒＞干红＞诺雅克庄园干红葡萄酒（中级庄）|price:135.0|title:诺雅克庄园干红葡萄酒（中级庄）
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞莎普蒂尔克罗兹赫米蒂奇梅族尼干红葡萄酒|price:358.0|title:莎普蒂尔克罗兹赫米蒂奇梅族尼干红葡萄酒
sezhe:酒精度14.5%|crumb:选酒中心＞红葡萄酒＞干红＞活灵魂干红葡萄酒|price:999.0|title:活灵魂干红葡萄酒
sezhe:酒精度12.0%|crumb:选酒中心＞红葡萄酒＞干红＞宜兰树·米切尔一世干红葡萄酒|price:|title:宜兰树·米切尔一世干红葡萄酒
sezhe:酒精度12.0%|crumb:选酒中心＞红葡萄酒＞干红＞宜兰树·芭乐倪塞一世干红葡萄酒|price:49.0|title:宜兰树·芭乐倪塞一世干红葡萄酒
sezhe:酒精度14.0%|crumb:选酒中心＞其他＞克洛古堡干红葡萄酒2011-6支装（名庄）|price:2199.0|title:克洛古堡干红葡萄酒2011-6支装（名庄）
sezhe:酒精度13.0%|crumb:选酒中心＞红葡萄酒＞干红＞小佳得美2008干红名庄礼盒双支装|price:也买价:773.0|title:小佳得美2008干红名庄礼盒双支装
sezhe:酒精度13%|crumb:选酒中心＞其他＞威尼斯干红葡萄酒双支实惠礼盒装|price:129.0|title:威尼斯干红葡萄酒双支实惠礼盒装
sezhe:酒精度52%vol|crumb:选酒中心＞浓香型＞陈年老酒52°泸州华夏第一窖优酿酒500ml2001年-10支装（礼品卡）|price:1990.0|title:陈年老酒52°泸州华夏第一窖优酿酒500ml2001年-10支装（礼品卡）
sezhe:酒精度12.5%|crumb:选酒中心＞其他＞三只猴子红葡萄酒-30支（礼品卡）|price:2495.0|title:三只猴子红葡萄酒-30支（礼品卡）
sezhe:酒精度52%vol|crumb:选酒中心＞凤香型＞52°西凤酒（F10)500ml-5支装（礼品卡）|price:640.0|title:52°西凤酒（F10)500ml-5支装（礼品卡）
sezhe:酒精度48%vol|crumb:选酒中心＞浓香型＞陈年老酒48°百年泸帅500ml2002年-30支装（礼品卡）|price:2295.0|title:陈年老酒48°百年泸帅500ml2002年-30支装（礼品卡）
sezhe:酒精度12.0%|crumb:选酒中心＞其他＞玛卡丽双支礼盒装（含酒具）*10（礼品卡）|price:2690.0|title:玛卡丽双支礼盒装（含酒具）*10（礼品卡）
sezhe:酒精度48%vol|crumb:选酒中心＞浓香型＞陈年老酒48°百年泸帅500ml2002年-60支装（礼品卡）|price:4590.0|title:陈年老酒48°百年泸帅500ml2002年-60支装（礼品卡）
sezhe:酒精度12.5%|crumb:选酒中心＞其他＞帕拉蒂奥干红葡萄酒-60支（礼品卡）|price:2380.0|title:帕拉蒂奥干红葡萄酒-60支（礼品卡）
sezhe:酒精度52%|crumb:选酒中心＞浓香型＞52°茅台富贵万年银钻500ml（新老包装与图片有区别）-5支装（礼品卡）|price:945.0|title:52°茅台富贵万年银钻500ml（新老包装与图片有区别）-5支装（礼品卡）
sezhe:酒精度52%|crumb:选酒中心＞浓香型＞52°五粮液兴隆典藏礼盒500ml*2-10套装（礼品卡）|price:2990.0|title:52°五粮液兴隆典藏礼盒500ml*2-10套装（礼品卡）
sezhe:酒精度45%vol|crumb:选酒中心＞浓香型＞45°柳浪春酒480ml2005年陈年老酒-60支装（礼品卡）|price:5880.0|title:45°柳浪春酒480ml2005年陈年老酒-60支装（礼品卡）
sezhe:酒精度53%vol|crumb:选酒中心＞酱香型＞53°茅台集团锦绣东方酒（忠将）500ml-5支装（礼品卡）|price:1995.0|title:53°茅台集团锦绣东方酒（忠将）500ml-5支装（礼品卡）
sezhe:酒精度52%|crumb:选酒中心＞浓香型＞52°茅台富贵万年银钻500ml（新老包装与图片有区别）-10支装（礼品卡）|price:1890.0|title:52°茅台富贵万年银钻500ml（新老包装与图片有区别）-10支装（礼品卡）
sezhe:酒精度52%vol|crumb:选酒中心＞浓香型＞陈年老酒52°泸州华夏第一窖优酿酒500ml2001年-5支装（礼品卡）|price:995.0|title:陈年老酒52°泸州华夏第一窖优酿酒500ml2001年-5支装（礼品卡）
sezhe:酒精度52%vol|crumb:选酒中心＞凤香型＞52°西凤酒（F10)500ml-10支装（礼品卡）|price:1280.0|title:52°西凤酒（F10)500ml-10支装（礼品卡）
sezhe:酒精度52%|crumb:选酒中心＞浓香型＞52°五粮液兴隆典藏礼盒500ml*2-5套装（礼品卡）|price:1495.0|title:52°五粮液兴隆典藏礼盒500ml*2-5套装（礼品卡）
sezhe:酒精度14%|crumb:选酒中心＞其他＞贝托纳酒庄马尔贝克干红葡萄酒-30支（礼品卡）|price:1790.0|title:贝托纳酒庄马尔贝克干红葡萄酒-30支（礼品卡）
sezhe:酒精度12%|crumb:选酒中心＞其他＞玛卡丽双支礼盒装（含酒具）*5（礼品卡）|price:也买价:3685.0|title:玛卡丽双支礼盒装（含酒具）*5（礼品卡）
sezhe:酒精度14%|crumb:选酒中心＞其他＞贝托纳酒庄马尔贝克干红葡萄酒-60支（礼品卡）|price:3580.0|title:贝托纳酒庄马尔贝克干红葡萄酒-60支（礼品卡）
sezhe:酒精度12.5%|crumb:选酒中心＞其他＞三只猴子红葡萄酒-60支（礼品卡）|price:4990.0|title:三只猴子红葡萄酒-60支（礼品卡）
sezhe:酒精度13.0%|crumb:选酒中心＞其他＞克里特红葡萄酒礼袋装|price:82.0|title:克里特红葡萄酒礼袋装
sezhe:酒精度13.0%|crumb:选酒中心＞其他＞火地岛珍藏赤霞珠干红葡萄酒-2支装|price:138.0|title:火地岛珍藏赤霞珠干红葡萄酒-2支装
sezhe:酒精度14.50%|crumb:选酒中心＞其他＞腾塔堡至尊巴罗萨双支礼盒（梅洛+GSM）|price:320.0|title:腾塔堡至尊巴罗萨双支礼盒（梅洛+GSM）
sezhe:酒精度14.5%|crumb:选酒中心＞红葡萄酒＞干红＞腾塔堡风华设拉子干红葡萄酒（巴罗萨）2012|price:|title:腾塔堡风华设拉子干红葡萄酒（巴罗萨）2012
sezhe:酒精度9.5%|crumb:选酒中心＞其他＞拉莫塔甜蜜恋爱组合（草莓+幸运泡泡）|price:128.0|title:拉莫塔甜蜜恋爱组合（草莓+幸运泡泡）
sezhe:酒精度7.5%|crumb:选酒中心＞其他＞拉莫塔四味组合（蜜桃+草莓+覆盆子+幸运泡泡）|price:228.0|title:拉莫塔四味组合（蜜桃+草莓+覆盆子+幸运泡泡）
sezhe:|crumb:选酒中心＞礼盒＞松木双盒|price:30.0|title:松木双盒
sezhe:酒精度8.0%|crumb:选酒中心＞起泡酒＞甜起泡酒＞冰飞艳起泡葡萄酒200ml-6支装|price:269.0|title:冰飞艳起泡葡萄酒200ml-6支装
sezhe:酒精度12.5%|crumb:选酒中心＞其他＞波尔多中级加得奖6支装（杜派+奥康蒂麓+雅龙+蒙贝+卢萨克+奥佩格）|price:也买价:1430.0|title:波尔多中级加得奖6支装（杜派+奥康蒂麓+雅龙+蒙贝+卢萨克+奥佩格）
sezhe:酒精度8.5%|crumb:选酒中心＞其他＞缤纷世家礼盒(莱茵夫人+桑格利亚)|price:178.0|title:缤纷世家礼盒(莱茵夫人+桑格利亚)
sezhe:酒精度8.5%|crumb:选酒中心＞其他＞果漾佳人礼盒（莱茵夫人+费恩桑格利亚）|price:213.0|title:果漾佳人礼盒（莱茵夫人+费恩桑格利亚）
sezhe:酒精度8.5%|crumb:选酒中心＞其他＞五彩斑斓-夏季时尚组合|price:399.0|title:五彩斑斓-夏季时尚组合
sezhe:酒精度11.0%|crumb:选酒中心＞其他＞施密特甜美分享组合（桑格利亚+RELAX粉+桃红+红）|price:也买价:574.0|title:施密特甜美分享组合（桑格利亚+RELAX粉+桃红+红）
sezhe:酒精度14%|crumb:选酒中心＞其他＞澳洲大牌瑞美尔双支装（MC2干红+GT琼瑶浆干白）|price:328.0|title:澳洲大牌瑞美尔双支装（MC2干红+GT琼瑶浆干白）
sezhe:酒精度14.5%|crumb:选酒中心＞其他＞奔富麦克斯赤霞珠干红葡萄酒-6支装|price:1699.0|title:奔富麦克斯赤霞珠干红葡萄酒-6支装
sezhe:酒精度14.5%|crumb:选酒中心＞其他＞奔富麦克斯西拉+赤霞珠-2支装组合（赠礼袋）|price:649.0|title:奔富麦克斯西拉+赤霞珠-2支装组合（赠礼袋）
sezhe:酒精度14.5%|crumb:选酒中心＞其他＞奔富麦克斯赤霞珠干红葡萄酒-2支装（赠礼袋）|price:579.0|title:奔富麦克斯赤霞珠干红葡萄酒-2支装（赠礼袋）
sezhe:酒精度12.5%|crumb:选酒中心＞其他＞小飞卓庄园干红葡萄酒2004双支礼盒装|price:389.0|title:小飞卓庄园干红葡萄酒2004双支礼盒装
sezhe:酒精度13.0%|crumb:选酒中心＞其他＞巴黎范儿六支装|price:258.0|title:巴黎范儿六支装
